Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
Chinese knotweed,Polygonum chinense,Polygonaceae,NEI_MPDB,Dyspepsia,Leaves,Extract taken orally,Assam,"1,2_Benzenedicarboxylic acid; 4_hexene_1_ol; 5_methyl_2_(methylethanyl)_acetate; squalene; mono[2_ethylhexyl] ester","Narasimhulu_G_et_al., 2014 (neist.res.in)",
Himalayan knotweed,Polygonum affine,Polygonaceae,NEI_MPDB,Cuts & wounds,Leaves,Paste applied topically,Assam,Eupatin; Isorhamnetin; Luteolin; Quercetin,"Mohanraj_K_et_al., 2018",
Water_pepper,Polygonum hydropiper,Polygonaceae,NEI_MPDB,Toothache,Aerial parts,Taken orally,Nagaland,Bornyl acetate; Polygodial; Quercetin; + many terpenoids & flavonoids,"Mohanraj_K_et_al., 2018",
Soft rumex,Aconogonum molle,Polygonaceae,NEI_MPDB,Astringent,Shoot,Taken orally,Sikkim,Ñ,"Das_T_et_al., 2012",
Persicaria glabra,Persicaria glabra,Polygonaceae,NEI_MPDB,Conjunctivitis,Leaf sap,Sap applied topically,Tripura,(_)-Pinocembrin; 2-methoxy-5-oxo-stilbene; dihydrofuran phenylprop-2-enoate; MeOH & EtOAc extracts,"Seimandi_G_et_al., 2021",
Vietnamese coriander,Persicaria odorata,Polygonaceae,NEI_MPDB,Hypertension,Shoot,Taken orally,Manipur,(Z)-3-hexen-1-ol; (Z)-3-hexenal; decanal; dodecanal; eugenol; terpenes; undecanal,"Starkenmann_et_al., 2006",
Silver buckwheat,Fagopyrum dibotrys,Polygonaceae,NEI_MPDB,"Lung infection, pulmonary abscess",Fruit,Taken orally,Sikkim,Sucrose,"Mohanraj_K_et_al., 2018",
Common buckwheat,Fagopyrum esculantum,Polygonaceae,NEI_MPDB,"Bodyache, Diabetes, Helminthiasis, Hypertension",Shoots; whole plant,Taken orally,"Arunachal Pradesh, Manipur, Nagaland","2,4_Decadienal; 2_Nonenal; amino acids (lysine, threonine, tryptophan); protein; fats; starch; salicylaldehyde; phenyl acetaldehyde","Perme_N_et_al. 2015, Chase_P_E_et_al. 2013",
Basket fern,Pseudodrynaria coronans,Polypodiaceae,NEI_MPDB,"Toothache, Stomachache",Rhizome,Extract taken orally,Mizoram,"(+)-6_Acetylcorynoline; Abscisic acid; Catechins; __Pinene; Afzelichin; many others (neist.res.in, neist.res.in)",USDA DukeÕs database (NEI_MPDB entry),
Oak fern,Drynaria quercifolia,Polypodiaceae,NEI_MPDB,Swellings,Rhizome,Paste applied topically,Tripura,Epifriedelinol; Friedelin; Naringin; __Amyrin; __Sitosterol; __Sitosterol_3-O-D-galactopyranoside,Ramesh_N_et_al. 2001; those phytochemicals appeared in NEI_MPDB entry and dedicated phyto pages,
Colysis fern,Colysis hemionitidea,Polypodiaceae,NEI_MPDB,"Hepatitis, Stomachache, Toothache","Root, Leaves",Extract taken orally,Mizoram,(None listed),Rai & Lalramnghinglova_2010,
Water hyacinth,Eichhornia crassipes,Pontederiaceae,NEI_MPDB,Fever,Root,Paste applied topically,Tripura,"2,4_Dihydroxybenzoic acid; 2,5_Dihydroxybenzoic acid; 4_Deoxybostrycin; 6_Methylcoumarin; Alteichin; BisphenolÊA; Gibberellins; Phytosterols; Propylene; Phenalen_1_one; Rhodosporin",Mohanraj_K_et_al. 2018; IMPPAT,
Purslane,Portulaca oleracea,Portulacaceae,NEI_MPDB,"Diarrhoea, Dysentery, Jaundice, Stomachache","Whole plant, Root",Extract taken orally,"Assam, Manipur, Mizoram (neist.res.in)","(3R)-3,5-Bis(3-methoxy-4-hydroxyphenyl)-2,3-dihydro-2(1H)-pyridinone; 1,5-dimethyl-6-phenyl-1,2-dihydro-1,2,4-triazin-3(2H)-one; Apigenin; Docosahexaenoic acid; Kaempferol; Linoleic acid; Luteolin; Monoterpene; N_trans-feruloyltyramine; Niacin; Oleic acid; Oleracein AÐE; Palmitic; Palmitoleic; Portulacanones AÐD; Portulacerebroside; Portulene; Portuloside A; Portuloside B; Pyridoxine; Quercetin; Riboflavin; Stearic; Eicosapentaenoic acid; dopa; dopamine; myricetin; noradrenaline; __Linolenic acid; __carotene",Iranshahy_M_et_al. (2017); Rajkumari_R_et_al. (2013); Shankar_R_et_al. (2012); Purkayatha_J_et_al. (2005),
Kengoi,Lysimachia parviflora,Primulaceae,NEI_MPDB,"Diarrhoea, Dysentery",Whole plant,Taken orally,Manipur,(not listed),Rajkumari_R_et_al. 2013,
Sialhma,Helicia excelsa,Proteaceae,NEI_MPDB,Stomachache,Bark,Decoction taken orally,Mizoram,Amino acids; Alkaloids; Carbohydrates; Glycosides; Phenols; Phytosterols; Proteins; Tannins (leaf extract),"Lalbiakngheti_Tlau_et_al., 2023; Lalramnghinglova & Rai_2010",
